id,genre,track_name,artist_name,valence,energy,lyric,mood
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248,Y,
5OVofGV3opkR1hq0C9RSCu,acoustic,100 Years,Five For Fighting,0.293,0.561,Y,
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337,Y,
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521,Y,
3xUZnzg858ZXHVGCYOuSKb,acoustic,And Tonight,Lily & Madeleine,0.196,0.314,Y,
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,0.588,0.0993,Y,
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847,Y,
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11,Y,
1ZmbLKxfrWh2ejFjiZxZPW,acoustic,Better Off - Live From Spotify London,HAIM,0.419,0.702,Y,
38xWaVFKaxZlMFvzNff2aW,acoustic,Breakeven,The Script,0.535,0.699,Y,
0rFOs9paloAvEtzwDX1Kmc,acoustic,Bubbly,Colbie Caillat,0.249,0.474,Y,
0knqVSsgD7C8yu5yNmQFbA,acoustic,Cannonball,Damien Rice,0.439,0.284,Y,
08kTO4EW0jb07zNsCNM83w,acoustic,Chariot,Gavin DeGraw,0.344,0.779,Y,
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352,Y,
0SwUDplbBp66rM5sMC0eD7,acoustic,Comin' Home,City and Colour,0.392,0.539,Y,
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38,Y,
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,Various Artists,0.297,0.299,Y,
567EmmCbOtpEuaVC2zznU6,acoustic,Dirty Old Town,Craig Cardiff,0.328,0.418,Y,
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.331,0.611,Y,
71Qc66ucEtfXYUj6U2it9l,acoustic,Don't Stop Believin',Boyce Avenue,0.302,0.234,Y,
